Food_Ingredient,Category,Health_Label,Nutrition_Score,Remarks
Onion powder variant 548 variant 840,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Soy protein,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Xanthan gum variant 138 variant 501 variant 178,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Pea protein variant 548,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Hydrogenated oil,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Acesulfame potassium variant 948 variant 433,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Chemical stabilizer variant 442 variant 985,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Bamboo shoot extract variant 373,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Ginger,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Vegetable fiber variant 71 variant 365 variant 776,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Niacinamide variant 547 variant 283,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Butylated hydroxytoluene (BHT) variant 664,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Riboflavin variant 44 variant 605,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Desi ghee variant 961 variant 308 variant 619,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Milk solids variant 101 variant 719 variant 109,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Ethyl maltol variant 259 variant 512,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Cold pressed coconut oil variant 463 variant 896,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Mannitol,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Cumin variant 856 variant 741 variant 294 variant 208,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Sodium citrate variant 203 variant 507,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Pea protein variant 808 variant 81,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Acesulfame potassium variant 948 variant 16,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Maltodextrin variant 546 variant 127,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Polydextrose variant 335 variant 197,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Mustard oil variant 560,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Acesulfame potassium variant 948 variant 44 variant 695 variant 645,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Paneer solids variant 458 variant 57 variant 116 variant 688 variant 798,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Sodium aluminosilicate variant 282 variant 626 variant 668 variant 495 variant 868,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Folic acid variant 811,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Black pepper variant 184 variant 858,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Turmeric oleoresin variant 9,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Trans fat variant 702,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Lecithin variant 4 variant 291,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Ferric pyrophosphate variant 544 variant 658 variant 420,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Turmeric oleoresin variant 956 variant 761,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Lactic acid variant 76 variant 662,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Chemical stabilizer variant 442 variant 767,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Turmeric variant 60,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Potassium sorbate variant 716 variant 772 variant 960,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Formaldehyde variant 984,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Potassium nitrate variant 988 variant 677 variant 421,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Propylene glycol variant 844,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Polydextrose variant 335 variant 329,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Turmeric oleoresin,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Propylene glycol alginate variant 376 variant 864 variant 699 variant 845,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Sodium acetate variant 628,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Pea protein variant 430 variant 110,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Sulphur dioxide variant 370 variant 548,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Trans fat,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Lactic acid variant 325,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Acesulfame potassium variant 948 variant 116,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Ginger extract variant 44 variant 663 variant 536 variant 295 variant 257,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Sodium acetate variant 628 variant 187 variant 233 variant 873,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Turmeric oleoresin variant 572 variant 434 variant 486,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Garlic,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Potassium sorbate variant 716 variant 562 variant 838,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Microcrystalline cellulose variant 237,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Ammonium bicarbonate variant 565 variant 764 variant 439,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Ginger variant 728 variant 893 variant 705 variant 713 variant 806 variant 96 variant 855 variant 612,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Polydextrose variant 335 variant 20,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Trans fat variant 660 variant 545 variant 711,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Sodium metabisulfite variant 936 variant 335,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Coconut sugar variant 769 variant 168,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Benzoyl peroxide variant 542 variant 658 variant 399,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Sodium phosphate variant 965 variant 722,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Aluminium ammonium sulfate variant 597 variant 250,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Paneer solids variant 458 variant 57 variant 116 variant 758 variant 7 variant 274,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Onion powder variant 631,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Sodium caseinate variant 57 variant 210 variant 780 variant 809,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Isomaltooligosaccharides variant 732,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Chemical stabilizer variant 442 variant 911 variant 897 variant 583 variant 486,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Potassium sorbate solution variant 77 variant 639,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Fumaric acid variant 682 variant 664 variant 615,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Guar gum variant 695 variant 541 variant 963,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Moringa powder variant 606 variant 312,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Pectin variant 613 variant 482 variant 825,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Ferric pyrophosphate variant 412,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Chia seeds variant 89 variant 747,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Sulphur dioxide variant 370 variant 15,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Milk solids variant 336 variant 492 variant 953,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Ginger extract variant 44 variant 663 variant 536 variant 957,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Ferrous fumarate variant 101 variant 754,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Propionate preservative variant 918 variant 654 variant 777,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Brown sugar variant 404 variant 875,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Cumin variant 856 variant 170 variant 800,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Malic acid,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Maltodextrin variant 360 variant 678,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Artificial flavoring variant 63 variant 673 variant 309,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Propionate preservative variant 424 variant 997,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Pea protein variant 933 variant 458 variant 803,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Chemical stabilizer variant 442 variant 128 variant 602,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Guar gum variant 487,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Guar gum variant 637,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Acesulfame potassium variant 948 variant 44 variant 47 variant 54,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Chemical stabilizer variant 442 variant 73,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Soy lecithin variant 508,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Dates paste variant 229,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Sodium aluminosilicate variant 282 variant 626 variant 76,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Sodium ascorbate variant 159 variant 390 variant 619 variant 518,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Paneer solids variant 458 variant 57 variant 116 variant 758 variant 7,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Coriander variant 439 variant 49 variant 4,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Dimethylpolysiloxane variant 170 variant 343 variant 129 variant 581 variant 657,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Ferric pyrophosphate variant 432 variant 16 variant 352 variant 231,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Niacinamide variant 543 variant 685,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Paneer solids variant 458,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Trans fat variant 702 variant 335 variant 118,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Potassium sorbate variant 716 variant 772,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Himalayan pink salt variant 709 variant 113,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Fenugreek variant 14 variant 142 variant 467 variant 441,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Mustard oil variant 165,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Sea salt variant 655 variant 247 variant 452,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Calcium propionate variant 262 variant 530,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Moringa powder variant 870,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Ragi flour variant 697 variant 936,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Triethyl citrate variant 474 variant 869 variant 772 variant 71 variant 286,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Cashews,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Niacinamide variant 480 variant 225,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Cocoa powder variant 723 variant 886,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Sodium benzoate variant 650 variant 48 variant 23 variant 550 variant 43 variant 487,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Propylene glycol variant 925 variant 724 variant 949 variant 196 variant 842,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Cinnamon variant 937 variant 692,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Fenugreek variant 200 variant 809 variant 340,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Chemical stabilizer variant 442 variant 613 variant 427 variant 189,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Mustard oil variant 560 variant 224 variant 722,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Riboflavin variant 275 variant 259 variant 79 variant 253,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Isinglass variant 841 variant 222 variant 731,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Niacinamide variant 543,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
"Artificial color (E102, E110) variant 191",Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Flax seeds variant 853 variant 99,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Soy lecithin variant 508 variant 549 variant 74,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Rice flour variant 84 variant 251 variant 853,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Ferrous fumarate,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Hexametaphosphate variant 240 variant 63,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Ginger extract variant 44 variant 663 variant 536 variant 295,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Paneer solids variant 458 variant 57 variant 116 variant 828,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Black pepper variant 32 variant 241 variant 949,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Tulsi extract,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Mannitol variant 786 variant 725 variant 223,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Rock salt variant 124 variant 16,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Inulin variant 585,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Black pepper variant 32 variant 870,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Ammonium citrate variant 393 variant 907 variant 227 variant 89,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Mustard oil,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Calcium propionate variant 752 variant 401 variant 551,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Niacinamide variant 480,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Garlic variant 776 variant 26,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Dimethylpolysiloxane variant 170 variant 343 variant 8,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Ginger variant 728 variant 893 variant 944 variant 814 variant 61 variant 241,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Sucralose variant 33,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Isomaltooligosaccharides variant 202 variant 316 variant 435,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Bamboo shoot extract variant 890,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Sodium citrate variant 203 variant 532 variant 305 variant 427 variant 899 variant 174,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Ginger extract,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Xanthan gum variant 138 variant 501 variant 178 variant 306,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Alpha tocopherol variant 340,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Dimethylpolysiloxane variant 170 variant 343 variant 129,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Polydextrose variant 870,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Propionate preservative variant 482 variant 267,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Disodium inosinate variant 251,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Phosphoric acid variant 975 variant 635 variant 6,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Niacinamide variant 543 variant 472,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Oats variant 219,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Onion powder variant 548 variant 704 variant 150,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Titanium dioxide variant 834,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Polydextrose variant 335 variant 26 variant 940 variant 758,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Cumin variant 423,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Cocoa powder variant 723 variant 344,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Ginger extract variant 762,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Artificial butter flavor variant 510 variant 493 variant 635,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Ammonium bicarbonate variant 565 variant 764,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Vegetable fiber variant 71 variant 85,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Aluminium ammonium sulfate variant 597 variant 515 variant 368 variant 851,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Chia seeds variant 89,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Pumpkin seeds,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Niacinamide variant 505,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Cocoa powder variant 744 variant 513 variant 784 variant 108,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Sodium acetate variant 628 variant 187,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Chemical stabilizer variant 442,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Sodium aluminosilicate variant 282 variant 626 variant 668 variant 626 variant 152,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Polydextrose variant 335 variant 938,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Dark chocolate,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Disodium inosinate variant 699,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Hydrogenated oil variant 375 variant 440,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Potassium nitrate variant 988 variant 677 variant 421 variant 88,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Ammonium bicarbonate variant 517 variant 510 variant 142,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Mustard oil variant 32,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Formaldehyde variant 967 variant 550 variant 463,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Coriander variant 439,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Sodium acetate,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Erythritol variant 666,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Rock salt variant 124 variant 78,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Dimethylpolysiloxane variant 170 variant 343 variant 129 variant 581,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Polysorbate 80,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Riboflavin variant 275 variant 624 variant 895 variant 243 variant 537,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Almonds,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Quinoa variant 395 variant 159 variant 492,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Cashews variant 662 variant 192,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Chemical stabilizer variant 442 variant 911 variant 972,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Sesame seeds variant 71 variant 359,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Polydextrose variant 335 variant 197 variant 938,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Triethyl citrate variant 474 variant 869,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Benzoyl peroxide variant 542,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Milk solids variant 336 variant 492,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Polydextrose variant 335 variant 197 variant 938 variant 209,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Defoamer variant 619,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Sodium acetate variant 628 variant 645 variant 991,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Ferric pyrophosphate variant 432 variant 994,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Himalayan pink salt,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Sodium benzoate variant 159 variant 530 variant 785 variant 937,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Calcium propionate variant 89,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Sodium citrate variant 203,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Butylated hydroxytoluene (BHT) variant 664 variant 957,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Rice flour variant 89,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Polysorbate 80 variant 362,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Sodium ascorbate,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Sodium benzoate variant 650 variant 817 variant 268 variant 55,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Cocoa powder variant 744 variant 45 variant 24 variant 575 variant 885,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Monosodium glutamate variant 587 variant 325,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Thiamine mononitrate variant 498,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Niacinamide variant 972 variant 490,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Polysorbate 80 variant 534,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Triethyl citrate variant 248,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Propylene glycol alginate variant 376,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Rock salt variant 675 variant 906 variant 73 variant 936,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Fenugreek variant 14 variant 553,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Ferric pyrophosphate variant 593 variant 75,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Sodium lauryl sulfate,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Riboflavin variant 275 variant 259,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Potassium sorbate variant 739,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Green tea extract,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Sodium aluminosilicate variant 282 variant 626 variant 166,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Turmeric,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Ginger variant 728 variant 893 variant 944 variant 814 variant 61,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Aluminium ammonium sulfate variant 597 variant 62 variant 292 variant 106,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Maltodextrin variant 546 variant 127 variant 503,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Sodium gluconate variant 807,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Color Red 40 variant 465,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Riboflavin variant 44 variant 524,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Lactic acid variant 915,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Calcium carbonate variant 424 variant 565,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Disodium inosinate variant 755 variant 480 variant 663 variant 61 variant 273,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Beetroot powder variant 22 variant 362,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Chemical stabilizer,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Fenugreek variant 200 variant 809,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Flax seeds variant 853 variant 313 variant 336 variant 20 variant 600,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
